Gender,Age  group  (years),Population  estimate  ('000),Current  smokers  (%),Daily  smokers  (%),Occasional  smokers  (%),Former  smokers  (%),Never  smokers  (%),Table_ID,Canada  (%),NL  (%),PE  (%),NS  (%),NB  (%),QC  (%),ON  (%),MB  (%),SK  (%),AB  (%),BC  (%),Age group (years),Population estimate ('000),Zero (%),One time (%),Two to three times (%),Four or more times (%),Switched to vaping  (%),Used nicotine replacement products  (%),Made deal with a friend/family member  (%),Reduced number of cigarettes you smoked  (%),Used a 1-800 quitline or a smokers helpline  (%),Used an internet-based program  (%),Used a smart phone app  (%),Tried to quit smoking on your own  (%),Unnamed: 9,Unnamed: 10,Unnamed: 11,Age group  (years),Any tobacco productFootnote 2  (%),Cigarettes  (%),Cigars  (%),Little cigars or cigarillos  (%),Pipe  (%),Chewing tobacco  (%),Water-pipe w/ tobacco  (%),Vaping  (%),Daily (%),Less than daily but at least once a week (%),Less than weekly but at least once in past month (%),Not at all (%),Vaped e-liquid with nicotine  (%),Vaped e-liquid without nicotine  (%),Vaped e-liquid with unknown nicotine content  (%),Tobacco  (%),Fruit  (%),Candy  (%),Dessert  (%),Mint or Menthol  (%),Flavourless  (%),No usual flavour  (%),Other  (%),Curiosity  (%),Because I enjoy it  (%),To reduce stress  (%),Smoking cessationFootnote 2  (%),To use where smoking is not allowed  (%),To avoid returning to smoking  (%),Social sourcesFootnote 2  (%),Retail sourcesFootnote 3  (%),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Vaping status,Unnamed: 0,Much less harmful than cigarettes (%),Somewhat less harmful than cigarettes (%),About the same as cigarettes (%),Somewhat more harmful than cigarettes (%),Much more harmful than cigarettes (%),Don't know (%),Daily  (%),Less than daily but at least once a week  (%),Less than weekly but at least once in past month  (%),Not at all  (%),Canada,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC
,"[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,Table_2,"[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 2 Note *  Moderate sampling variability, interpret with caution.  Return to table 2 note * referrer  Table 2 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 2 note # referrer Table 2 Note ↑  Rounds up to whole number.  Return to table 2 note ↑ referrer Table 2 Note↓  Rounds down to whole number.  Return to table 2 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_3,,,,,,,,,,,,All ages,2659,57.8  [53.0-62.5],13.3  [10.0-16.6],20.0  [15.7-24.4],8.9  [6.4-11.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_3,,,,,,,,,,,,15-19,60,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_3,,,,,,,,,,,,20-24,101,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_3,,,,,,,,,,,,25+,2498,59.2  [54.1-64.2],12.9  [9.4-16.4],19.9  [15.3-24.5],8.0  [5.5-10.6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_3,,,,,,,,,,,,25-44,860,52.6  [42.7-62.4],Footnote #,23.5Footnote ↓Footnote *  [13.7-33.2],Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_3,,,,,,,,,,,,45+,1639,62.7  [57.1-68.2],12.4  [9.0-15.8],18.0  [13.3-22.7],6.9Footnote *  [4.5-9.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_3,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 3 Note *  Moderate sampling variability, interpret with caution.  Return to table 3 note * referrer  Table 3 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 3 Note↓  Rounds down to whole number.  Return to table 3 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 3 Note *  Moderate sampling variability, interpret with caution.  Return to table 3 note * referrer  Table 3 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 3 Note↓  Rounds down to whole number.  Return to table 3 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 3 Note *  Moderate sampling variability, interpret with caution.  Return to table 3 note * referrer  Table 3 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 3 Note↓  Rounds down to whole number.  Return to table 3 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 3 Note *  Moderate sampling variability, interpret with caution.  Return to table 3 note * referrer  Table 3 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 3 Note↓  Rounds down to whole number.  Return to table 3 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 3 Note *  Moderate sampling variability, interpret with caution.  Return to table 3 note * referrer  Table 3 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 3 Note↓  Rounds down to whole number.  Return to table 3 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 3 Note *  Moderate sampling variability, interpret with caution.  Return to table 3 note * referrer  Table 3 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 3 note # referrer Table 3 Note↓  Rounds down to whole number.  Return to table 3 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_4,,,,,,,,,,,,All ages,,,,,,35.5Footnote ↓  [29.5-41.5],26.2  [21.3-31.1],11.1  [7.7-14.6],54.3  [48.5-60.0],Footnote #,Footnote #,6.3Footnote *  [3.2-9.4],70.1  [64.9-75.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_4,,,,,,,,,,,,15-19,,,,,,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_4,,,,,,,,,,,,20-24,,,,,,72.3  [60.6-84.0],Footnote #,Footnote #,52.4  [39.0-65.7],Footnote #,Footnote #,Footnote #,71.7  [59.7-83.6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_4,,,,,,,,,,,,25+,,,,,,31.0  [24.2-37.7],28.4  [22.9-34.0],10.0Footnote *  [6.2-13.8],55.2  [48.7-61.7],Footnote #,Footnote #,Footnote #,69.0  [63.2-74.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_4,,,,,,,,,,,,25-44,,,,,,40.5Footnote ↓  [28.3-52.6],Footnote #,Footnote #,54.1  [41.8-66.5],Footnote #,Footnote #,Footnote #,73.8  [63.9-83.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_4,,,,,,,,,,,,45+,,,,,,23.5Footnote ↓  [16.7-30.3],35.7  [28.8-42.7],Footnote #,56.0  [48.8-63.3],Footnote #,Footnote #,Footnote #,65.4  [58.3-72.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_4,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,"[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 4 Note 1  Quit smoking within the past 12 months.  Return to table 4 note 1 referrer  Table 4 Note *  Moderate sampling variability, interpret with caution.  Return to table 4 note * referrer  Table 4 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 4 note # referrer  Table 4 Note↓  Rounds down to whole number.  Return to table 4 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Genders,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All age  groups,14.0  [13.0-15.0],11.9  [10.9-12.8],1.4  [1.0-1.7],1.9  [1.5-2.3],Footnote #,0.4Footnote *  [0.2-0.6],0.4Footnote *  [0.3-0.6],4.7  [4.2-5.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All age  groups,15.9  [14.4-17.5],12.6  [11.2-14.1],2.4  [1.6-3.1],2.8  [2.2-3.5],Footnote #,0.7Footnote *  [0.4-1.0],0.5↑Footnote *  [0.3-0.7],5.8  [4.9-6.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All age  groups,12.0  [10.8-13.2],11.0  [9.9-12.2],Footnote #,1.0Footnote *  [0.6-1.3],Footnote #,Footnote #,Footnote #,3.6  [3.0-4.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-19,7.4  [5.7-9.1],5.1  [3.7-6.5],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,15.1  [12.8-17.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,18.3  [15.4-21.2],13.3  [10.8-15.8],Footnote #,3.9Footnote *  [2.5-5.3],Footnote #,Footnote #,Footnote #,15.2  [12.8-17.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25+,14.4  [13.2-15.5],12.5Footnote ↓  [11.4-13.6],1.3Footnote *  [0.9-1.8],1.7  [1.3-2.1],Footnote #,Footnote #,Footnote #,2.9  [2.3-3.5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-44,16.0  [13.7-18.3],13.2  [11.2-15.3],Footnote #,1.7Footnote *  [1.0-2.5],Footnote #,Footnote #,Footnote #,5.0  [3.7-6.3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45+,13.4  [12.2-14.6],12.0  [10.9-13.2],0.9Footnote *  [0.5-1.3],1.6  [1.2-2.1],Footnote #,Footnote #,Footnote #,1.6  [1.2-2.0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-19,9.1  [6.5-11.8],6.0Footnote *  [3.8-8.1],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,16.1  [12.7-19.5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,21.6  [17.3-25.8],15.3  [11.6-19.0],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,18.0  [14.2-21.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25+,16.3  [14.5-18.1],13.2  [11.5-14.8],2.3Footnote *  [1.5-3.2],2.6  [1.9-3.4],Footnote #,Footnote #,Footnote #,3.8  [2.8-4.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-44,18.2  [14.6-21.9],13.7  [10.5-16.9],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,6.7Footnote *  [4.4-9.0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45+,15.1  [13.2-17.0],12.9  [11.0-14.7],1.5Footnote ↑Footnote *  [0.9-2.2],2.6  [1.7-3.4],Footnote #,Footnote #,Footnote #,1.9  [1.3-2.5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-19,5.0Footnote *  [3.1-7.0],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,13.6  [10.6-16.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-24,14.2  [10.4-18.0],10.6  [7.3-13.8],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,11.8  [8.6-15.0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25+,12.5Footnote ↑  [11.2-13.9],11.8  [10.5-13.2],Footnote #,0.8Footnote *  [0.5-1.1],Footnote #,Footnote #,Footnote #,2.1  [1.5-2.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-44,13.8  [11.1-16.4],12.8  [10.2-15.4],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,3.3Footnote *  [2.0-4.6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,,,,,,,Table_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45+,11.8  [10.3-13.3],11.3  [9.8-12.7],Footnote #,Footnote #,Footnote #,Footnote #,Footnote #,1.3Footnote *  [0.8-1.9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
